year,zone,site,npp_g_m2
1990,C,CALI,28.6
1990,C,GRAV,85.7
1990,C,SAND,103.3
1990,G,BASN,77.2
1990,G,IBPE,34.1
1990,G,SUMM,53.7
1990,M,NORT,57.9
1990,M,RABB,106.1
1990,M,WELL,79.8
1990,P,COLL,136
1990,P,SMAL,181.6
1990,P,TOBO,50.5
1990,T,EAST,72.2
1990,T,TAYL,53.9
1990,T,WEST,92.8
1991,C,CALI,32.5
1991,C,GRAV,90.4
1991,C,SAND,125.7
1991,G,BASN,118
1991,G,IBPE,96.1
1991,G,SUMM,107.9
1991,M,NORT,23.2
1991,M,RABB,76.9
1991,M,WELL,77.4
1991,P,COLL,195
1991,P,SMAL,279.4
1991,P,TOBO,58.4
1991,T,EAST,127
1991,T,TAYL,60.7
1991,T,WEST,84.4
1992,C,CALI,60.6
1992,C,GRAV,103.7
1992,C,SAND,173.3
1992,G,BASN,156.7
1992,G,IBPE,126.6
1992,G,SUMM,226.5
1992,M,NORT,68.9
1992,M,RABB,87.5
1992,M,WELL,77.5
1992,P,COLL,215.8
1992,P,SMAL,261.8
1992,P,TOBO,77.3
1992,T,EAST,92
1992,T,TAYL,49.4
1992,T,WEST,70.3
1993,C,CALI,42.9
1993,C,GRAV,89.8
1993,C,SAND,122.8
1993,G,BASN,111
1993,G,IBPE,85.7
1993,G,SUMM,91.1
1993,M,NORT,67.2
1993,M,RABB,72.7
1993,M,WELL,110.2
1993,P,COLL,39.1
1993,P,SMAL,638.4
1993,P,TOBO,47.3
1993,T,EAST,81.7
1993,T,TAYL,67.4
1993,T,WEST,57
1994,C,CALI,26.6
1994,C,GRAV,71.5
1994,C,SAND,66.9
1994,G,BASN,60.1
1994,G,IBPE,26.6
1994,G,SUMM,36.7
1994,M,NORT,43.2
1994,M,RABB,22
1994,M,WELL,44.9
1994,P,COLL,1.7
1994,P,SMAL,17
1994,P,TOBO,8.5
1994,T,EAST,81
1994,T,TAYL,65.4
1994,T,WEST,56
1995,C,CALI,29
1995,C,GRAV,79.1
1995,C,SAND,112.1
1995,G,BASN,85.9
1995,G,IBPE,118.9
1995,G,SUMM,67.5
1995,M,NORT,64.7
1995,M,RABB,55.3
1995,M,WELL,89.2
1995,P,COLL,26.3
1995,P,SMAL,128.3
1995,P,TOBO,13.7
1995,T,EAST,65.5
1995,T,TAYL,40
1995,T,WEST,43.6
1996,C,CALI,37.2
1996,C,GRAV,97.1
1996,C,SAND,194.9
1996,G,BASN,104.6
1996,G,IBPE,97.4
1996,G,SUMM,92.2
1996,M,NORT,86.5
1996,M,RABB,142.6
1996,M,WELL,45.1
1996,P,COLL,659.7
1996,P,SMAL,706
1996,P,TOBO,59.5
1996,T,EAST,97
1996,T,TAYL,94.3
1996,T,WEST,62.4
1997,C,CALI,32.8
1997,C,GRAV,55.4
1997,C,SAND,108.4
1997,G,BASN,116
1997,G,IBPE,136.7
1997,G,SUMM,119.5
1997,M,NORT,104.3
1997,M,RABB,84.4
1997,M,WELL,73.1
1997,P,COLL,524.2
1997,P,SMAL,427.2
1997,P,TOBO,380.2
1997,T,EAST,112.8
1997,T,TAYL,135.5
1997,T,WEST,73.3
1998,C,CALI,31.6
1998,C,GRAV,62.9
1998,C,SAND,93.9
1998,G,BASN,96.4
1998,G,IBPE,37.2
1998,G,SUMM,50.9
1998,M,NORT,64.2
1998,M,RABB,50.9
1998,M,WELL,61.3
1998,P,COLL,139.4
1998,P,SMAL,48.7
1998,P,TOBO,76.6
1998,T,EAST,66.6
1998,T,TAYL,47.6
1998,T,WEST,49
1999,C,CALI,38.5
1999,C,GRAV,118.1
1999,C,SAND,122.4
1999,G,BASN,219.9
1999,G,IBPE,128
1999,G,SUMM,146.1
1999,M,NORT,95.9
1999,M,RABB,90.8
1999,M,WELL,92.3
1999,P,COLL,356.3
1999,P,SMAL,295.5
1999,P,TOBO,93
1999,T,EAST,98.2
1999,T,TAYL,73
1999,T,WEST,53.2
2000,C,CALI,23
2000,C,GRAV,49.6
2000,C,SAND,53.5
2000,G,BASN,110.8
2000,G,IBPE,73.1
2000,G,SUMM,38.1
2000,M,NORT,86
2000,M,RABB,77.9
2000,M,WELL,98.2
2000,P,COLL,38.1
2000,P,SMAL,152.2
2000,P,TOBO,4.8
2000,T,EAST,36.5
2000,T,TAYL,33.6
2000,T,WEST,14.5
2001,C,CALI,32.4
2001,C,GRAV,74.2
2001,C,SAND,106.3
2001,G,BASN,112.9
2001,G,IBPE,68.7
2001,G,SUMM,92
2001,M,NORT,134
2001,M,RABB,113.7
2001,M,WELL,140.9
2001,P,COLL,112.8
2001,P,SMAL,136.5
2001,P,TOBO,56.9
2001,T,EAST,53.4
2001,T,TAYL,72.1
2001,T,WEST,37.2
2002,C,CALI,25.8
2002,C,GRAV,63.6
2002,C,SAND,106.6
2002,G,BASN,128.5
2002,G,IBPE,94.4
2002,G,SUMM,48.2
2002,M,NORT,68.9
2002,M,RABB,67.1
2002,M,WELL,58.4
2002,P,COLL,210
2002,P,SMAL,293.4
2002,P,TOBO,42.1
2002,T,EAST,52.2
2002,T,TAYL,48
2002,T,WEST,49.3
2003,C,CALI,20.1
2003,C,GRAV,47.3
2003,C,SAND,56.1
2003,G,BASN,94.1
2003,G,IBPE,73.3
2003,G,SUMM,90.4
2003,M,NORT,64.2
2003,M,RABB,46.6
2003,M,WELL,46.7
2003,P,COLL,85.8
2003,P,SMAL,57.5
2003,P,TOBO,20
2003,T,EAST,33.6
2003,T,TAYL,31.8
2003,T,WEST,27.4
2004,C,CALI,24.7
2004,C,GRAV,65.7
2004,C,SAND,133.4
2004,G,BASN,95.8
2004,G,IBPE,55.2
2004,G,SUMM,195.5
2004,M,NORT,82
2004,M,RABB,69.6
2004,M,WELL,60.9
2004,P,COLL,478.6
2004,P,SMAL,927.1
2004,P,TOBO,42.5
2004,T,EAST,84.1
2004,T,TAYL,73.3
2004,T,WEST,45.7
2005,C,CALI,31.1
2005,C,GRAV,100.8
2005,C,SAND,146
2005,G,BASN,180.3
2005,G,IBPE,144.1
