Site code,Analyte,Date,mg/day
1335,compund x,28/11/1991,0.25306877
1335,compund x,29/11/1991,0.23900784
1335,compund x,30/11/1991,0.197200482
1335,compund x,1/12/1991,0.172876735
1335,compund x,2/12/1991,0.222456914
1335,compund x,3/12/1991,0.190995069
1335,compund x,30/01/1992,0.298375954
1335,compund x,31/01/1992,0.252530551
1335,compund x,1/02/1992,0.255651631
1335,compund x,2/02/1992,0.283735644
1335,compund x,3/02/1992,0.232511464
1335,compund x,4/02/1992,0.212348475
1335,compund x,5/02/1992,0.313533914
1335,compund x,27/03/1992,0.165118948
1335,compund x,28/03/1992,0.160212885
1335,compund x,29/03/1992,0.176877545
1335,compund x,30/03/1992,0.175568072
1335,compund x,31/03/1992,0.186373278
1335,compund x,1/04/1992,0.231783394
1335,compund x,2/04/1992,0.252963204
1335,compund x,28/05/1992,0.286898607
1335,compund x,29/05/1992,0.194357681
1335,compund x,30/05/1992,0.186644684
1335,compund x,31/05/1992,0.191780391
1335,compund x,1/06/1992,0.202027741
1335,compund x,2/06/1992,0.18509298
1335,compund x,3/06/1992,0.263444316
1335,compund x,30/07/1992,0.229256146
1335,compund x,31/07/1992,0.208429287
1335,compund x,1/08/1992,0.370413787
1335,compund x,2/08/1992,0.241183087
1335,compund x,4/08/1992,0.278791465
1335,compund x,5/08/1992,0.286248445
1335,compund x,2/10/1992,0.214692971
1335,compund x,3/10/1992,0.185538624
1335,compund x,4/10/1992,0.172462706
1335,compund x,5/10/1992,0.177046779
1335,compund x,6/10/1992,0.166160082
1335,compund x,7/10/1992,0.211300286
1335,compund x,8/10/1992,0.191210116
1335,compund x,3/12/1992,0.103073169
1335,compund x,4/12/1992,0.082418621
1335,compund x,5/12/1992,0.099318247
1335,compund x,6/12/1992,0.083337916
1335,compund x,7/12/1992,0.082117369
1335,compund x,9/12/1992,0.119412517
1335,compund x,4/02/1993,0.183156693
1335,compund x,5/02/1993,0.170616483
1335,compund x,6/02/1993,0.141407454
1335,compund x,7/02/1993,0.144341081
1335,compund x,8/02/1993,0.147282201
1335,compund x,9/02/1993,0.164928916
1335,compund x,10/02/1993,0.192841897
1335,compund x,10/04/1993,0.177674491
1335,compund x,11/04/1993,0.179860752
1335,compund x,12/04/1993,0.202769047
1335,compund x,13/04/1993,0.207129672
1335,compund x,14/04/1993,0.222128837
1335,compund x,15/04/1993,0.24918299
1335,compund x,16/04/1993,0.217744526
1335,compund x,3/06/1993,0.254091746
1335,compund x,4/06/1993,0.238761047
1335,compund x,5/06/1993,0.218630329
1335,compund x,6/06/1993,0.244102277
1335,compund x,7/06/1993,0.233866173
1335,compund x,8/06/1993,0.251597121
1335,compund x,9/06/1993,0.304477404
1335,compund x,5/08/1993,0.293521184
1335,compund x,6/08/1993,0.265077049
1335,compund x,7/08/1993,0.25044615
1335,compund x,8/08/1993,0.245621853
1335,compund x,9/08/1993,0.241002624
1335,compund x,10/08/1993,0.274773692
1335,compund x,11/08/1993,0.314052458
1335,compund x,30/09/1993,0.309782224
1335,compund x,1/10/1993,0.252961848
1335,compund x,2/10/1993,0.218729067
1335,compund x,3/10/1993,0.230052096
1335,compund x,4/10/1993,0.243028503
1335,compund x,5/10/1993,0.270094502
1335,compund x,6/10/1993,0.326757684
1335,compund x,2/12/1993,0.324394137
1335,compund x,3/12/1993,0.252945302
1335,compund x,4/12/1993,0.378596702
1335,compund x,5/12/1993,0.689029572
1335,compund x,6/12/1993,0.289080345
1335,compund x,7/12/1993,0.291544098
1335,compund x,8/12/1993,0.365456686
1335,compund x,3/02/1994,0.387630463
1335,compund x,4/02/1994,0.325995577
1335,compund x,5/02/1994,0.345109372
1335,compund x,6/02/1994,0.297719905
1335,compund x,7/02/1994,0.298119033
1335,compund x,8/02/1994,0.309526209
1335,compund x,9/02/1994,0.358354508
1335,compund x,31/03/1994,0.278318672
1335,compund x,1/04/1994,0.595996619
1335,compund x,2/04/1994,0.339717038
1335,compund x,3/04/1994,0.300853799
1335,compund x,4/04/1994,0.251899028
1335,compund x,5/04/1994,0.255210312
1335,compund x,6/04/1994,0.275940329
1335,compund x,2/06/1994,0.402704981
1335,compund x,3/06/1994,0.280768665
1335,compund x,4/06/1994,0.275009031
1335,compund x,5/06/1994,0.285456843
1335,compund x,6/06/1994,0.319367397
1335,compund x,7/06/1994,0.311660098
1335,compund x,8/06/1994,0.397727778
1335,compund x,2/08/1994,0.269809653
1335,compund x,3/08/1994,0.22380723
1335,compund x,4/08/1994,0.427963011
1335,compund x,5/08/1994,0.22501848
1335,compund x,6/08/1994,0.23383314
1335,compund x,7/08/1994,0.243654831
1335,compund x,8/08/1994,0.256480306
1335,compund x,3/10/1994,0.311140766
1335,compund x,4/10/1994,0.294477457
1335,compund x,6/10/1994,0.324060092
1335,compund x,7/10/1994,0.288934437
1335,compund x,8/10/1994,0.349431975
1335,compund x,2/12/1994,0.294040405
1335,compund x,3/12/1994,0.25714385
1335,compund x,4/12/1994,0.253418097
1335,compund x,5/12/1994,0.258043086
1335,compund x,6/12/1994,0.267187718
1335,compund x,7/12/1994,0.271791523
1335,compund x,8/12/1994,0.272533659
1335,compund x,2/02/1995,0.372648878
1335,compund x,3/02/1995,0.338813786
1335,compund x,4/02/1995,0.295870573
1335,compund x,5/02/1995,0.312068774
1335,compund x,6/02/1995,0.352324563
1335,compund x,7/02/1995,0.344300295
1335,compund x,8/02/1995,0.397652995
1335,compund x,13/04/1995,0.338618079
1335,compund x,14/04/1995,0.353760115
1335,compund x,15/04/1995,0.337181367
1335,compund x,16/04/1995,0.322978266
1335,compund x,17/04/1995,0.327556284
1335,compund x,18/04/1995,0.342787265
1335,compund x,19/04/1995,0.373616157
1335,compund x,31/05/1995,0.364261867
1335,compund x,1/06/1995,0.337818798
1335,compund x,2/06/1995,0.402308807
1335,compund x,3/06/1995,0.544655806
1335,compund x,4/06/1995,0.341074935
1335,compund x,5/06/1995,0.351766141
1335,compund x,6/06/1995,0.821952586
1335,compund x,3/08/1995,0.440013683
1335,compund x,4/08/1995,0.516125216
1335,compund x,5/08/1995,0.385868058
1335,compund x,6/08/1995,0.447283343
1335,compund x,7/08/1995,0.42664524
1335,compund x,8/08/1995,0.450070596
1335,compund x,9/08/1995,0.460854132
1335,compund x,12/10/1995,0.331455081
1335,compund x,13/10/1995,0.3680028
1335,compund x,14/10/1995,0.376912301
1335,compund x,15/10/1995,0.360243955
1335,compund x,16/10/1995,0.379023556
